id,label
91_THE_FOX_WITH_HIS_TAIL_CUT_OFF,91_THE_FOX_WITH_HIS_TAIL_CUT_OFF
soul,soul
Lion,Lion
4_THE_TWO_MULES,4_THE_TWO_MULES
77_THE_CAMEL_AND_THE_DRIFTWOOD,77_THE_CAMEL_AND_THE_DRIFTWOOD
Fraudulent Trustee,Fraudulent Trustee
Farmer,Farmer
Swan,Swan
237_THE_ARBITRATOR_ALMONER_AND_HERMIT,237_THE_ARBITRATOR_ALMONER_AND_HERMIT
102_THE_SHEPHERD_AND_THE_LION,102_THE_SHEPHERD_AND_THE_LION
Æschylus,Æschylus
Gourd,Gourd
70_THE_GARDENER_AND_HIS_MASTER,70_THE_GARDENER_AND_HIS_MASTER
wag,wag
greyling,greyling
65_THE_LION_GROWN_OLD,65_THE_LION_GROWN_OLD
43_THE_RAVEN_WHO_WISHED_TO_IMITATE_THE_EAGLE,43_THE_RAVEN_WHO_WISHED_TO_IMITATE_THE_EAGLE
Torrent,Torrent
man,man
sisters,sisters
master,master
gods,gods
178_THE_MONKEY_AND_THE_CAT,178_THE_MONKEY_AND_THE_CAT
Hen,Hen
Discord,Discord
Rams,Rams
traveller,traveller
101_THE_EAGLE_AND_THE_OWL,101_THE_EAGLE_AND_THE_OWL
Rider,Rider
177_THE_MOUSE_METAMORPHOSED_INTO_A_GIRL,177_THE_MOUSE_METAMORPHOSED_INTO_A_GIRL
brook,brook
horses,horses
ass,ass
92_THE_SATYR_AND_THE_PASSERBY,92_THE_SATYR_AND_THE_PASSERBY
Calf,Calf
sons,sons
Gaster,Gaster
145_THE_POWER_OF_FABLES,145_THE_POWER_OF_FABLES
parents,parents
192_THE_TWO_ADVENTURERS_AND_THE_TALISMAN,192_THE_TWO_ADVENTURERS_AND_THE_TALISMAN
bird,bird
mother,mother
Reynard,Reynard
Bacchus,Bacchus
Death,Death
Melpomene,Melpomene
bream,bream
11_THE_DRAGON_WITH_MANY_HEADS_AND_THE_DRAGON,11_THE_DRAGON_WITH_MANY_HEADS_AND_THE_DRAGON
200_THE_TWO_PARROTS_THE_MONARCH_AND_HIS_SON,200_THE_TWO_PARROTS_THE_MONARCH_AND_HIS_SON
Boor,Boor
223_THE_FOREST_AND_THE_WOODMAN,223_THE_FOREST_AND_THE_WOODMAN
Angler,Angler
88_FORTUNE_AND_THE_LITTLE_CHILD,88_FORTUNE_AND_THE_LITTLE_CHILD
badgers,badgers
217_THE_BAT_THE_BUSH_AND_THE_DUCK,217_THE_BAT_THE_BUSH_AND_THE_DUCK
Peacock,Peacock
covey,covey
pointer,pointer
Mother,Mother
Fox,Fox
182_THE_TWO_RATS_THE_FOX_AND_THE_EGG,182_THE_TWO_RATS_THE_FOX_AND_THE_EGG
167_THE_CAT_AND_THE_RAT,167_THE_CAT_AND_THE_RAT
Countryman,Countryman
50_THE_LION_IN_LOVE,50_THE_LION_IN_LOVE
184_THE_HUSBAND_THE_WIFE_AND_THE_ROBBER,184_THE_HUSBAND_THE_WIFE_AND_THE_ROBBER
Lark,Lark
Brahmin,Brahmin
oxen,oxen
218_THE_EAGLE_AND_THE_MAGPIE,218_THE_EAGLE_AND_THE_MAGPIE
Grizzly Bear,Grizzly Bear
146_THE_BEAR_AND_THE_AMATEUR_OF_GARDENING,146_THE_BEAR_AND_THE_AMATEUR_OF_GARDENING
Bob,Bob
Germans,Germans
27_THE_LION_AND_THE_GNAT,27_THE_LION_AND_THE_GNAT
82_THE_FOX_AND_THE_BUST,82_THE_FOX_AND_THE_BUST
87_THE_MOUNTAIN_IN_LABOUR,87_THE_MOUNTAIN_IN_LABOUR
father,father
Knight,Knight
Sage,Sage
236_THE_FROGS_AND_THE_SUN,236_THE_FROGS_AND_THE_SUN
81_THE_HORSE_WISHING_TO_BE_REVENGED_ON_THE_STAG,81_THE_HORSE_WISHING_TO_BE_REVENGED_ON_THE_STAG
stag,stag
heart,heart
84_THE_SAYING_OF_SOCRATES,84_THE_SAYING_OF_SOCRATES
Bobby,Bobby
Cocks,Cocks
Chanticleer,Chanticleer
Stork,Stork
Mars,Mars
186_THE_TWO_MEN_AND_THE_TREASURE,186_THE_TWO_MEN_AND_THE_TREASURE
Juno,Juno
dog,dog
Nightingale,Nightingale
Sir Gnaw-cheese,Sir Gnaw-cheese
197_THE_PARTRIDGE_AND_THE_FOWLS,197_THE_PARTRIDGE_AND_THE_FOWLS
Woodman,Woodman
233_DAPHNIS_AND_ALCIMADURA,233_DAPHNIS_AND_ALCIMADURA
Cæsar,Cæsar
Monkey,Monkey
18_THE_CHILD_AND_THE_SCHOOLMASTER,18_THE_CHILD_AND_THE_SCHOOLMASTER
Parrots,Parrots
Strength,Strength
snake,snake
hermit,hermit
Bird,Bird
196_THE_SWALLOW_AND_THE_SPIDER,196_THE_SWALLOW_AND_THE_SPIDER
64_THE_WOLF_THE_MOTHER_AND_THE_CHILD,64_THE_WOLF_THE_MOTHER_AND_THE_CHILD
